title,link
Mother and child die from injuries after Munich car attackThe 37-year-old woman and two-year-old child are the first fatalities from Thursday's attack.20 hrs agoEurope,https://www.bbc.com/news/news/articles/czrl51mz7k8o
"Critics say new Google rules put profits over privacyGoogle is allowing advertisers to collect more personal information, which is harder for users to control.14 hrs agoTechnology",https://www.bbc.com/news/news/articles/cm21g0052dno
"'I believe in my guide runner more than myself', says blind Indian athleteTwo of India’s top visually impaired female athletes share the challenges of finding the perfect guide runner.13 hrs agoAsia",https://www.bbc.com/news/news/articles/cvgezm9per7o
"Angry neighbours dub inflatable dome 'enormous zit'The blow-up dome, which houses tennis courts, has caused uproar among residents of Edinburgh's plush Stockbridge.3 hrs agoEdinburgh, Fife & East",https://www.bbc.com/news/news/articles/cvgpj82j7qqo
Gunfire and looting in DR Congo city as rebels advanceResidents in the Congolese city tell the BBC they are hiding in their homes as the rebels advance.20 hrs agoAfrica,https://www.bbc.com/news/news/articles/c1m5dppk5xmo
French customs seize dinosaur teeth found in lorryThe teeth belonging to creatures from roughly 70 million years ago were discoveredin a lorry.20 hrs agoEurope,https://www.bbc.com/news/news/articles/cqx95zyzyv7o
1Trump administration's mixed messaging on foreign policy leaves world guessing,https://www.bbc.com/news/news/articles/crr0gkn1qlzo
2Iran's abandoned bases in Syria: Years of military expansion lie in ruins,https://www.bbc.com/news/news/articles/cjw4egp7lwno
3Are noise-cancelling headphones to blame for young people's hearing problems?,https://www.bbc.com/news/news/articles/cgkjvr7x5x6o
4US government struggles to rehire nuclear safety staff it laid off days ago,https://www.bbc.com/news/news/articles/c4g3nrx1dq5o
5Nigeria angered after military chief denied Canada entry,https://www.bbc.com/news/news/articles/c17eky00r5ro
"6From the Gulf of America to Fort Bragg, what's behind Trump's name changes?",https://www.bbc.com/news/news/articles/cwypzzey425o
7World's 'first openly gay imam' shot dead in South Africa,https://www.bbc.com/news/news/articles/c05l33j7rq7o
8One year on: Did democratic opposition in Russia die with Alexei Navalny?,https://www.bbc.com/news/news/articles/cgly78j5ny8o
9The A-level student who became an enemy of the Chinese state,https://www.bbc.com/news/news/articles/c93lp2wd0qzo
10Families heartbreak after deadly Delhi railway station crush,https://www.bbc.com/news/news/articles/cn8x3kjd7zzo
LIVEPremier League: Leaders Liverpool host WolvesFollow live text coverage and BBC Radio commentaries as Liverpool host Wolves in the Premier League.,https://www.bbc.com/sport/football/live/c78w071g71gt
"LIVEScottish Premiership: Reaction as McCart's two own goals help Rangers beat HeartsFollow live radio and text commentary, score updates and match report from Hearts vs Rangers in the Scottish Premiership.",https://www.bbc.com/sport/football/live/cp8q4de7ndmt
Three fights in opening nine seconds and anthem booed as US beat CanadaA 4 Nations game between the USA and Canada descends into chaos with three fights breaking out between players in the first nine seconds.3 hrs agoIce Hockey,https://www.bbc.com/news/sport/ice-hockey/articles/c70k2pwkrj1o
Kiplimo runs sub-57 to shatter half marathon recordUganda's Jacob Kiplimo shatters the half marathon record at a World Athletics event in Barcelona.3 hrs agoAthletics,https://www.bbc.com/news/sport/athletics/articles/cj65lj9ledro
"'He can smell danger' - is Merino Arsenal's striker solution?Mikel Merino makes his case to be Arsenal's striker solution after his match-winning heroics in the vital victory at Leicester, says BBC Sport chief football writer Phil McNulty.21 hrs agoArsenal",https://www.bbc.com/news/sport/football/articles/c0m1d4z9vdro
"LIVEScottish Premiership: Reaction as McCart's two own goals help Rangers beat HeartsFollow live radio and text commentary, score updates and match report from Hearts vs Rangers in the Scottish Premiership.",https://www.bbc.com/sport/football/live/cp8q4de7ndmt
"LIVEScottish Premiership: Can Hibs extend unbeaten run at St Mirren?Follow live text and radio commentary, score updates and match stats from St Mirren vs Hibernian in the Scottish Premiership.",https://www.bbc.com/sport/football/live/c4gpkrzw9vrt
Irish jockey O'Sullivan dies after Thurles fallIrish jockey Michael O'Sullivan has died aged 24 after a fall at Thurles earlier this month.5 hrs agoHorse Racing,https://www.bbc.com/news/sport/horse-racing/articles/cg5yr9e42jro
Three fights in opening nine seconds and anthem booed as US beat CanadaA 4 Nations game between the USA and Canada descends into chaos with three fights breaking out between players in the first nine seconds.3 hrs agoIce Hockey,https://www.bbc.com/news/sport/ice-hockey/articles/c70k2pwkrj1o
British Broadcasting Corporation,https://www.bbc.com/news/
Home,https://www.bbc.com/
News,https://www.bbc.com/news/news
Sport,https://www.bbc.com/news/sport
Business,https://www.bbc.com/news/business
Innovation,https://www.bbc.com/news/innovation
Culture,https://www.bbc.com/news/culture
Arts,https://www.bbc.com/news/arts
Travel,https://www.bbc.com/news/travel
Earth,https://www.bbc.com/news/future-planet
Audio,https://www.bbc.com/news/audio
Video,https://www.bbc.com/news/video
Live,https://www.bbc.com/news/live
Weather,https://www.bbc.com/weather
BBC Shop,https://shop.bbc.com/
Terms of Use,https://www.bbc.co.uk/usingthebbc/terms
About the BBC,https://www.bbc.co.uk/aboutthebbc
Privacy Policy,https://www.bbc.com/usingthebbc/privacy/
Cookies,https://www.bbc.com/usingthebbc/cookies/
Accessibility Help,https://www.bbc.co.uk/accessibility/
Contact the BBC,https://www.bbc.co.uk/contact
Advertise with us,https://www.bbc.com/advertisingcontact
Do not share or sell my info,https://www.bbc.com/usingthebbc/cookies/how-can-i-change-my-bbc-cookie-settings/
Contact technical support,https://www.bbc.com/contact-bbc-com-help
Read about our approach to external linking.,https://www.bbc.co.uk/editorialguidelines/guidance/feeds-and-links
